wallMs,obsHostFrame,obsHostTimeMs,guestFrame,filteredOffsetMs,expectedHostFrame,driftMs
1775744177104,1840512,1775744175883,1829093,-803.991,1860528.4,-314.905
1775744177204,1840512,1775744175883,1833986,-803.991,1865328.4,-312.967
1775744177313,1864752,1775744176385,1838880,-803.991,1870704.4,-323.009
1775744177403,1864752,1775744176385,1843681,-803.991,1875024.4,-312.988
1775744177504,1864752,1775744176385,1848483,-803.991,1879872.4,-313.947
1775744177614,1864752,1775744176385,1853284,-803.792,1885162.0,-324.125
1775744177705,1888944,1775744176884,1858179,-803.792,1889770.0,-318.146
1775744177804,1888944,1775744176884,1863072,-803.792,1894522.0,-315.208
1775744177903,1888944,1775744176884,1867876,-803.792,1899274.0,-314.125
1775744178004,1888944,1775744176884,1872770,-803.792,1904122.0,-313.167
1775744178104,1888944,1775744176884,1877570,-803.792,1908922.0,-313.167
1775744178203,1888944,1775744176884,1882464,-803.792,1913674.0,-310.208
1775744178331,1913136,1775744177385,1887266,-803.792,1919962.0,-341.167
1775744178404,1913136,1775744177385,1892067,-803.792,1923466.0,-314.146
1775744178504,1913136,1775744177385,1896961,-803.792,1928266.0,-312.187
1775744178618,1913136,1775744177385,1901763,-803.613,1933746.6,-326.325
